epi_week,adm2,lineage,count
71,NOTTINGHAM,B.1.1.7,2
71,NOTTINGHAMSHIRE,B.1.1.7,67
71,OLDHAM,B.1.1.7,36
71,OXFORDSHIRE,B.1.1.7,31
71,ROCHDALE,B.1.1.7,3
71,SALFORD,B.1.1.7,21
71,SANDWELL,B.1.1.7,20
71,SEFTON,B.1.1.7,5
71,SOMERSET,B.1.1.7,0
71,STIRLING,B.1.1.7,2
71,STOCKPORT,B.1.1.7,14
71,SUFFOLK,B.1.1.7,38
71,SURREY,B.1.1.7,18
71,SWANSEA,B.1.1.7,5
71,TAMESIDE,B.1.1.7,16
71,WALSALL,B.1.1.7,8
71,WARWICKSHIRE,B.1.1.7,61
71,WEST_MIDLANDS,B.1.1.7,14
71,WEST_SUSSEX,B.1.1.7,6
71,WIGAN,B.1.1.7,7
71,WILTSHIRE,B.1.1.7,3
71,WIRRAL,B.1.1.7,3
71,WOKINGHAM,B.1.1.7,0
71,WOLVERHAMPTON,B.1.1.7,1
71,WORCESTERSHIRE,B.1.1.7,6
71,WREXHAM,B.1.1.7,8
71,ABERDEEN,B.1.617.2,2
71,BEDFORDSHIRE,B.1.617.2,79
71,BIRMINGHAM,B.1.617.2,4
71,BOLTON,B.1.617.2,62
71,BRACKNELL_FOREST,B.1.617.2,1
71,BRADFORD,B.1.617.2,2
71,BUCKINGHAMSHIRE,B.1.617.2,2
71,BURY,B.1.617.2,4
71,CAMBRIDGESHIRE,B.1.617.2,2
71,CARDIFF,B.1.617.2,10
71,COVENTRY,B.1.617.2,2
71,DERBYSHIRE,B.1.617.2,4
71,DEVON,B.1.617.2,2
71,DORSET,B.1.617.2,1
71,DURHAM,B.1.617.2,3
71,EAST_SUSSEX,B.1.617.2,1
71,EDINBURGH,B.1.617.2,7
71,ESSEX,B.1.617.2,12
71,GLASGOW,B.1.617.2,7
71,GREATER_LONDON,B.1.617.2,170
71,HAMPSHIRE,B.1.617.2,21
71,HEREFORDSHIRE,B.1.617.2,7
71,HERTFORDSHIRE,B.1.617.2,18
71,KENT,B.1.617.2,13
71,KIRKLEES,B.1.617.2,1
71,LANCASHIRE,B.1.617.2,122
71,LEEDS,B.1.617.2,1
71,LEICESTERSHIRE,B.1.617.2,31
71,LINCOLNSHIRE,B.1.617.2,1
71,MANCHESTER,B.1.617.2,1
71,MIDDLESBROUGH,B.1.617.2,1
71,MILTON_KEYNES,B.1.617.2,2
71,NEATH_PORT_TALBOT,B.1.617.2,2
71,NORFOLK,B.1.617.2,3
71,NORTHAMPTONSHIRE,B.1.617.2,36
71,NORTH_LANARKSHIRE,B.1.617.2,1
71,NORTH_TYNESIDE,B.1.617.2,1
71,NOTTINGHAM,B.1.617.2,2
71,NOTTINGHAMSHIRE,B.1.617.2,51
71,OLDHAM,B.1.617.2,2
71,OXFORDSHIRE,B.1.617.2,4
71,ROCHDALE,B.1.617.2,2
71,SALFORD,B.1.617.2,4
71,SANDWELL,B.1.617.2,6
71,SEFTON,B.1.617.2,20
71,SOMERSET,B.1.617.2,2
71,STIRLING,B.1.617.2,1
71,STOCKPORT,B.1.617.2,1
71,SUFFOLK,B.1.617.2,1
71,SURREY,B.1.617.2,7
71,SWANSEA,B.1.617.2,1
71,TAMESIDE,B.1.617.2,2
71,WALSALL,B.1.617.2,1
71,WARWICKSHIRE,B.1.617.2,4
71,WEST_MIDLANDS,B.1.617.2,3
71,WEST_SUSSEX,B.1.617.2,2
71,WIGAN,B.1.617.2,5
71,WILTSHIRE,B.1.617.2,4
71,WIRRAL,B.1.617.2,1
71,WOKINGHAM,B.1.617.2,1
71,WOLVERHAMPTON,B.1.617.2,4
71,WORCESTERSHIRE,B.1.617.2,3
71,WREXHAM,B.1.617.2,1
